# Volume injected (mL),pressure (bar)
2.093252290083333467e+00,1.742031746000000325e+00
2.093218956749999471e+00,1.744100176000000335e+00
2.093185623416666363e+00,1.744100176000000335e+00
2.093152290083333256e+00,1.742031746000000325e+00
2.093118956749999704e+00,1.748237036000000133e+00
2.093085623416666596e+00,1.744100176000000335e+00
2.093052290083333489e+00,1.739963316000000315e+00
2.093018956749999937e+00,1.744100176000000335e+00
2.092985623416666385e+00,1.742031746000000325e+00
2.092952290083332834e+00,1.744100176000000335e+00
2.092918956749999726e+00,1.742031746000000325e+00
2.092885623416666618e+00,1.746168606000000345e+00
2.092852290083333067e+00,1.744100176000000335e+00
2.092818956749999959e+00,1.744100176000000335e+00
2.092785623416666851e+00,1.744100176000000335e+00
2.092752290083333300e+00,1.744100176000000335e+00
2.092718956749999748e+00,1.744100176000000335e+00
2.092685623416666196e+00,1.744100176000000335e+00
2.092652290083333089e+00,1.744100176000000335e+00
2.092618956749999981e+00,1.744100176000000335e+00
2.092585623416666429e+00,1.744100176000000335e+00
2.092552290083333322e+00,1.746168606000000345e+00
2.092518956750000214e+00,1.748237036000000133e+00
2.092485623416666662e+00,1.750305466000000143e+00
2.092452290083333111e+00,1.744100176000000335e+00
2.092418956749999559e+00,1.744100176000000335e+00
2.092385623416666451e+00,1.744100176000000335e+00
2.092352290083333344e+00,1.744100176000000335e+00
2.092318956749999792e+00,1.744100176000000335e+00
2.092285623416666684e+00,1.744100176000000335e+00
2.092252290083333577e+00,1.742031746000000325e+00
2.092218956749999581e+00,1.742031746000000325e+00
2.092185623416666473e+00,1.744100176000000335e+00
2.092152290083332922e+00,1.744100176000000335e+00
2.092118956749999814e+00,1.744100176000000335e+00
2.092085623416666706e+00,1.744100176000000335e+00
2.092052290083333155e+00,1.744100176000000335e+00
2.092018956750000047e+00,1.742031746000000325e+00
2.091985623416666940e+00,1.744100176000000335e+00
2.091952290083332944e+00,1.742031746000000325e+00
2.091918956749999836e+00,1.744100176000000335e+00
2.091885623416666284e+00,1.742031746000000325e+00
2.091852290083333177e+00,1.742031746000000325e+00
2.091818956750000069e+00,1.744100176000000335e+00
2.091785623416666517e+00,1.744100176000000335e+00
2.091752290083333410e+00,1.739963316000000315e+00
2.091718956749999414e+00,1.744100176000000335e+00
2.091685623416666306e+00,1.744100176000000335e+00
2.091652290083333199e+00,1.742031746000000325e+00
2.091618956749999647e+00,1.739963316000000315e+00
2.091585623416666539e+00,1.742031746000000325e+00
2.091552290083333432e+00,1.744100176000000335e+00
2.091518956749999880e+00,1.742031746000000325e+00
2.091485623416666773e+00,1.742031746000000325e+00
2.091452290083332777e+00,1.744100176000000335e+00
2.091418956749999669e+00,1.742031746000000325e+00
2.091385623416666562e+00,1.742031746000000325e+00
2.091352290083333010e+00,1.744100176000000335e+00
2.091318956749999902e+00,1.742031746000000325e+00
2.091285623416666795e+00,1.739963316000000315e+00
2.091252290083333243e+00,1.742031746000000325e+00
2.091218956750000135e+00,1.744100176000000335e+00
2.091185623416666139e+00,1.742031746000000325e+00
2.091152290083333032e+00,1.744100176000000335e+00
2.091118956749999924e+00,1.744100176000000335e+00
2.091085623416666373e+00,1.744100176000000335e+00
2.091052290083333265e+00,1.744100176000000335e+00
2.091018956750000157e+00,1.742031746000000325e+00
2.090985623416666606e+00,1.742031746000000325e+00
2.090952290083333054e+00,1.744100176000000335e+00
2.090918956749999502e+00,1.744100176000000335e+00
2.090885623416666395e+00,1.737894886000000083e+00
2.090852290083333287e+00,1.744100176000000335e+00
2.090818956749999735e+00,1.744100176000000335e+00
2.090785623416666628e+00,1.739963316000000315e+00
2.090752290083333520e+00,1.744100176000000335e+00
2.090718956749999968e+00,1.744100176000000335e+00
2.090685623416666417e+00,1.742031746000000325e+00
2.090652290083332865e+00,1.739963316000000315e+00
2.090618956749999757e+00,1.742031746000000325e+00
2.090585623416666650e+00,1.737894886000000083e+00
2.090552290083333098e+00,1.742031746000000325e+00
2.090518956749999990e+00,1.739963316000000315e+00
2.090485623416666883e+00,1.744100176000000335e+00
2.090452290083333331e+00,1.744100176000000335e+00
2.090418956749999779e+00,1.739963316000000315e+00
2.090385623416666228e+00,1.742031746000000325e+00
2.090352290083333120e+00,1.742031746000000325e+00
2.090318956750000012e+00,1.744100176000000335e+00
2.090285623416666461e+00,1.744100176000000335e+00
2.090252290083333353e+00,1.742031746000000325e+00
2.090218956750000245e+00,1.742031746000000325e+00
2.090185623416666250e+00,1.735412770000000382e+00
2.090152290083333142e+00,1.735412770000000382e+00
2.090118956749999590e+00,1.737894886000000083e+00
2.090085623416666483e+00,1.744100176000000335e+00
2.090052290083333375e+00,1.742031746000000325e+00
2.090018956749999823e+00,1.737894886000000083e+00
2.089985623416666716e+00,1.744100176000000335e+00
2.089952290083333608e+00,1.735412770000000382e+00
2.089918956749999612e+00,1.737894886000000083e+00
2.089885623416666505e+00,1.739963316000000315e+00
2.089852290083332953e+00,1.735412770000000382e+00
2.089818956749999845e+00,1.744100176000000335e+00
2.089785623416666738e+00,1.742031746000000325e+00
2.089752290083333186e+00,1.742031746000000325e+00
2.089718956750000078e+00,1.742031746000000325e+00
2.089685623416666083e+00,1.737894886000000083e+00
2.089652290083332975e+00,1.739963316000000315e+00
2.089618956749999867e+00,1.739963316000000315e+00
2.089585623416666316e+00,1.742031746000000325e+00
2.089552290083333208e+00,1.735412770000000382e+00
2.089518956750000100e+00,1.742031746000000325e+00
2.089485623416666549e+00,1.742031746000000325e+00
2.089452290083333441e+00,1.735412770000000382e+00
2.089418956749999445e+00,1.744100176000000335e+00
2.089385623416666338e+00,1.742031746000000325e+00
2.089352290083333230e+00,1.735412770000000382e+00
2.089318956749999678e+00,1.735412770000000382e+00
2.089285623416666571e+00,1.735412770000000382e+00
2.089252290083333463e+00,1.744100176000000335e+00
2.089218956749999911e+00,1.733344340000000372e+00
2.089185623416666804e+00,1.737894886000000083e+00
2.089152290083332808e+00,1.742031746000000325e+00
2.089118956749999700e+00,1.739963316000000315e+00
2.089085623416666593e+00,1.739963316000000315e+00
2.089052290083333041e+00,1.742031746000000325e+00
2.089018956749999933e+00,1.735412770000000382e+00
2.088985623416666826e+00,1.744100176000000335e+00
2.088952290083333274e+00,1.735412770000000382e+00
2.088918956749999722e+00,1.735412770000000382e+00
2.088885623416666171e+00,1.735412770000000382e+00
2.088852290083333063e+00,1.735412770000000382e+00
2.088818956749999955e+00,1.742031746000000325e+00
2.088785623416666404e+00,1.735412770000000382e+00
2.088752290083333296e+00,1.739963316000000315e+00
2.088718956750000189e+00,1.735412770000000382e+00
2.088685623416666637e+00,1.739963316000000315e+00
2.088652290083333085e+00,1.744100176000000335e+00
2.088618956749999533e+00,1.735412770000000382e+00
2.088585623416666426e+00,1.742031746000000325e+00
2.088552290083333318e+00,1.737894886000000083e+00
2.088518956749999766e+00,1.739963316000000315e+00
2.088485623416666659e+00,1.735412770000000382e+00
2.088452290083333551e+00,1.735412770000000382e+00
2.088418956750000000e+00,1.735412770000000382e+00
2.088385623416666448e+00,1.735412770000000382e+00
2.088352290083332896e+00,1.735412770000000382e+00
2.088318956749999789e+00,1.735412770000000382e+00
2.088285623416666681e+00,1.744100176000000335e+00
2.088252290083333129e+00,1.737894886000000083e+00
2.088218956750000022e+00,1.735412770000000382e+00
2.088185623416666914e+00,1.735412770000000382e+00
2.088152290083332918e+00,1.731275910000000140e+00
2.088118956749999811e+00,1.739963316000000315e+00
2.088085623416666259e+00,1.737894886000000083e+00
2.088052290083333151e+00,1.737894886000000083e+00
2.088018956750000044e+00,1.735412770000000382e+00
2.087985623416666492e+00,1.742031746000000325e+00
2.087952290083333384e+00,1.735412770000000382e+00
2.087918956750000277e+00,1.735412770000000382e+00
2.087885623416666281e+00,1.739963316000000315e+00
2.087852290083333173e+00,1.735412770000000382e+00
2.087818956749999622e+00,1.739963316000000315e+00
2.087785623416666514e+00,1.733344340000000372e+00
2.087752290083333406e+00,1.735412770000000382e+00
2.087718956749999855e+00,1.742031746000000325e+00
2.087685623416666747e+00,1.735412770000000382e+00
2.087652290083332751e+00,1.735412770000000382e+00
2.087618956749999644e+00,1.735412770000000382e+00
2.087585623416666536e+00,1.735412770000000382e+00
